name,abbrev,id,logo_url
Arizona Diamondbacks,AZ,109,https://www.mlbstatic.com/team-logos/team-cap-on-light/109.svg
Athletics,ATH,133,https://www.mlbstatic.com/team-logos/team-cap-on-light/133.svg
Atlanta Braves,ATL,144,https://www.mlbstatic.com/team-logos/team-cap-on-light/144.svg
Baltimore Orioles,BAL,110,https://www.mlbstatic.com/team-logos/team-cap-on-light/110.svg
Boston Red Sox,BOS,111,https://www.mlbstatic.com/team-logos/team-cap-on-light/111.svg
Chicago Cubs,CHC,112,https://www.mlbstatic.com/team-logos/team-cap-on-light/112.svg
Chicago White Sox,CWS,145,https://www.mlbstatic.com/team-logos/team-cap-on-light/145.svg
Cincinnati Reds,CIN,113,https://www.mlbstatic.com/team-logos/team-cap-on-light/113.svg
Cleveland Guardians,CLE,114,https://www.mlbstatic.com/team-logos/team-cap-on-light/114.svg
Colorado Rockies,COL,115,https://www.mlbstatic.com/team-logos/team-cap-on-light/115.svg
Detroit Tigers,DET,116,https://www.mlbstatic.com/team-logos/team-cap-on-light/116.svg
Houston Astros,HOU,117,https://www.mlbstatic.com/team-logos/team-cap-on-light/117.svg
Kansas City Royals,KC,118,https://www.mlbstatic.com/team-logos/team-cap-on-light/118.svg
Los Angeles Angels,LAA,108,https://www.mlbstatic.com/team-logos/team-cap-on-light/108.svg
Los Angeles Dodgers,LAD,119,https://www.mlbstatic.com/team-logos/team-cap-on-light/119.svg
Miami Marlins,MIA,146,https://www.mlbstatic.com/team-logos/team-cap-on-light/146.svg
Milwaukee Brewers,MIL,158,https://www.mlbstatic.com/team-logos/team-cap-on-light/158.svg
Minnesota Twins,MIN,142,https://www.mlbstatic.com/team-logos/team-cap-on-light/142.svg
New York Mets,NYM,121,https://www.mlbstatic.com/team-logos/team-cap-on-light/121.svg
New York Yankees,NYY,147,https://www.mlbstatic.com/team-logos/team-cap-on-light/147.svg
Philadelphia Phillies,PHI,143,https://www.mlbstatic.com/team-logos/team-cap-on-light/143.svg
Pittsburgh Pirates,PIT,134,https://www.mlbstatic.com/team-logos/team-cap-on-light/134.svg
San Diego Padres,SD,135,https://www.mlbstatic.com/team-logos/team-cap-on-light/135.svg
San Francisco Giants,SF,137,https://www.mlbstatic.com/team-logos/team-cap-on-light/137.svg
Seattle Mariners,SEA,136,https://www.mlbstatic.com/team-logos/team-cap-on-light/136.svg
St. Louis Cardinals,STL,138,https://www.mlbstatic.com/team-logos/team-cap-on-light/138.svg
Tampa Bay Rays,TB,139,https://www.mlbstatic.com/team-logos/team-cap-on-light/139.svg
Texas Rangers,TEX,140,https://www.mlbstatic.com/team-logos/team-cap-on-light/140.svg
Toronto Blue Jays,TOR,141,https://www.mlbstatic.com/team-logos/team-cap-on-light/141.svg
Washington Nationals,WSH,120,https://www.mlbstatic.com/team-logos/team-cap-on-light/120.svg
